Country	Countrycode3	Countrycode2	Year	POP	Incomegroup	Mean	Median	Gini	Source	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	Q1	Q2	Q3	Q4	Q5	P5	P95	Revision	Quality	Source_Comments	Region	Currency	Reference_period	Welfaredefn	IncSharU	UofAnala	Equivsc	AreaCovr	PopCovr	AgeCovr	EU	OECD	Year_cat	Welfaredefn_new	Equivsc_new	AgeCovr_new	AreaCovr_new	PopCovr_new	IncSharU_new	UofAnala_new	Exchangerate	Mean_usd	Median_usd
Austria	AUT	AT	2000	8.004712	High income: OECD	163325.6	141965	29.3	Luxembourg Income Study	3.318	5.239	6.166	7.147	8.179	9.292	10.61	12.285	14.787	22.977	8.557	13.313	17.471	22.895	37.764				High	European Community Household Panel Survey	Europe	Shilling	Year	Monetary Income. Disposable	Household	Person	Household per capita	All	All	All	EU	OECD	2000-2006	Income.Disposable	Household Per Capita	All	All	All	Household	Person			
Austria	AUT	AT	2000	8.004712	High income: OECD	16566	15116	24	Eurostat																		New 2013	High		Europe	Euros	Year	Income.Disposable	Household	Person	Household per capita	All	All	All	EU	OECD	2000-2006	Income.Disposable	Household Per Capita	All	All	All	Household	Person	1.085400833	15262.564453125	13926.65234375
Austria	AUT	AT	2001	8.03848	High income: OECD	16611	15288	24	European Commission 2005	4	6	7	8	9	10	11	12	14	20	10	15	19	23	34				High	European Community Household Panel Survey	Europe	Euros	Year	Income.Disposable	Household	Person	Household eq. OECDmod	All	All	All	EU	OECD	2000-2006	Income.Disposable	Household Adult Equiv	All	All	All	Household	Person	1.11751	14864.296875	13680.4140625
Austria	AUT	AT	2001	8.03848	High income: OECD	16611	15288	24	Eurostat																		New 2013	High		Europe	Euros	Year	Income.Disposable	Household	Person	Household per capita	All	All	All	EU	OECD	2000-2006	Income.Disposable	Household Per Capita	All	All	All	Household	Person	1.11751	14864.296875	13680.4140625
Austria	AUT	AT	2003	8.134235	High income: OECD	17543	15624	27	European Commission 2008																		Mod 2008	High	The European Union Statistics on Income and Living Conditions (EU-SILC)	Europe	Euros	Year	Income.Disposable	Household	Person	Household eq. OECDmod	All	All	All	EU	OECD	2000-2006	Income.Disposable	Household Adult Equiv	All	All	All	Household	Person	0.886034167	19799.462890625	17633.630859375
Austria	AUT	AT	2003	8.134235	High income: OECD	17566	15630	27.4	Eurostat	3.5	5.5	6.6999998093	7.5	8.3999996185	9.3999996185	10.3999996185	11.8999996185	14.3000001907	22.3999996185	9	14.1999998093	17.7999992371	22.3999996185	36.7000007629	0.400000006	85.0999984741	New 2013	High		Europe	Euros	Year	Income.Disposable	Household	Person	Household per capita	All	All	All	EU	OECD	2000-2006	Income.Disposable	Household Per Capita	All	All	All	Household	Person	0.886034167	19825.419921875	17640.40234375
Austria	AUT	AT	2004	8.185553	High income: OECD	18741	16970	26	European Commission 2008																		Mod 2008	High	The European Union Statistics on Income and Living Conditions (EU-SILC)	Europe	Euros	Year	Income.Disposable	Household	Person	Household eq. OECDmod	All	All	All	EU	OECD	2000-2006	Income.Disposable	Household Adult Equiv	All	All	All	Household	Person	0.805365	23270.193359375	21071.19140625
Austria	AUT	AT	2004	8.185553	High income: OECD	22556	20154	26.9	Luxembourg Income Study	3.422	5.107	6.123	7.052	8.072	9.088	10.394	12.06	14.746	23.934	8.5290002823	13.1750001907	17.1599998474	22.454000473	38.6800003052			New 2013	High	Mean/Median Incomes Equivalized taken from LIS website. decile/quintile shares from Markus jantti	Europe	Euros	Year	Income.Disposable	Household	Person	Household per capita	All	All	All	EU	OECD	2000-2006	Income.Disposable	Household Per Capita	All	All	All	Household	Person	0.805365	28007.177734375	25024.677734375
Austria	AUT	AT	2004	8.185553	High income: OECD	22326	19948	26.8	OECD StatExtract																		New 2013	High	Current prices	Europe	Euros	Year	Income.Disposable	Household	Household	Household eq. square root	All	All	All	EU	OECD	2000-2006	Income.Disposable	Household Adult Equiv	All	All	All	Household	Household	0.805365	27721.591796875	24768.89453125
Austria	AUT	AT	2004	8.185553	High income: OECD	18787	17000	25.8	Eurostat	3.5999999046	5.6999998093	6.8000001907	7.6999998093	8.6000003815	9.5	10.6000003815	12	14	21.2999992371	9.3999996185	14.5	18.2000007629	22.6000003815	35.2999992371	0.400000006	85.8000030518	New 2013	High		Europe	Euros	Year	Income.Disposable	Household	Person	Household per capita	All	All	All	EU	OECD	2000-2006	Income.Disposable	Household Per Capita	All	All	All	Household	Person	0.805365	23327.310546875	21108.44140625
Austria	AUT	AT	2004	8.185553	High income: OECD	18314		45.9	OECD StatExtract																		New 2013	High	Current prices	Europe	Euros	Year	Market Income	Household	Household	Household eq. square root	All	All	All	EU	OECD	2000-2006	Income.Gross	Household Adult Equiv	All	All	All	Household	Household	0.805365	22740	
Austria	AUT	AT	2005	8.232196	High income: OECD	21909	19810	26	OECD StatExtract																		New 2013	High	Current prices	Europe	Euros	Year	Income.Disposable	Household	Household	Household eq. square root	All	All	All	EU	OECD	2000-2006	Income.Disposable	Household Adult Equiv	All	All	All	Household	Household	0.80412	27245.93359375	24635.626953125
Austria	AUT	AT	2005	8.232196	High income: OECD	20080	17993	26	European Commission 2008																		New 2008	High	The European Union Statistics on Income and Living Conditions (EU-SILC)	Europe	Euros	Year	Income.Disposable	Household	Person	Household eq. OECDmod	All	All	All	EU	OECD	2000-2006	Income.Disposable	Household Adult Equiv	All	All	All	Household	Person	0.80412	24971.396484375	22376.013671875
Austria	AUT	AT	2005	8.232196	High income: OECD	20102	18001	26.2	Eurostat	3.7999999523	5.6999998093	6.8000001907	7.5999999046	8.5	9.3999996185	10.5	11.8000001907	14	21.8999996185	9.5	14.3999996185	17.8999996185	22.2999992371	35.9000015259	0.400000006	85.1999969482	New 2013	High		Europe	Euros	Year	Income.Disposable	Household	Person	Household per capita	All	All	All	EU	OECD	2000-2006	Income.Disposable	Household Per Capita	All	All	All	Household	Person	0.80412	24998.755859375	22385.962890625
Austria	AUT	AT	2005	8.232196	High income: OECD	18070		46.4	OECD StatExtract																		New 2013	High	Current prices	Europe	Euros	Year	Market Income	Household	Household	Household eq. square root	All	All	All	EU	OECD	2000-2006	Income.Gross	Household Adult Equiv	All	All	All	Household	Household	0.80412	22471.76953125	
Austria	AUT	AT	2006	8.273208	High income: OECD	22580	20261	26.6	OECD StatExtract																		New 2013	High	Current prices	Europe	Euros	Year	Income.Disposable	Household	Household	Household eq. square root	All	All	All	EU	OECD	2000-2006	Income.Disposable	Household Adult Equiv	All	All	All	Household	Household	0.797140833	28326.236328125	25417.08984375
Austria	AUT	AT	2006	8.273208	High income: OECD	19674	17853	25	European Commission 2008																		New 2008	High	The European Union Statistics on Income and Living Conditions (EU-SILC)	Europe	Euros	Year	Income.Disposable	Household	Person	Household eq. OECDmod	All	All	All	EU	OECD	2000-2006	Income.Disposable	Household Adult Equiv	All	All	All	Household	Person	0.797140833	24680.70703125	22396.29296875
Austria	AUT	AT	2006	8.273208	High income: OECD	19684	17854	25.3	Eurostat	3.7999999523	5.8000001907	6.8000001907	7.6999998093	8.6000003815	9.5	10.6000003815	12	14	21	9.6000003815	14.6000003815	18.1000003815	22.6000003815	35.0999984741	0.400000006	85.9000015259	New 2013	High		Europe	Euros	Year	Income.Disposable	Household	Person	Household per capita	All	All	All	EU	OECD	2000-2006	Income.Disposable	Household Per Capita	All	All	All	Household	Person	0.797140833	24693.251953125	22397.548828125
Austria	AUT	AT	2006	8.273208	High income: OECD	18488		48	OECD StatExtract																		New 2013	High	Current prices	Europe	Euros	Year	Market Income	Household	Household	Household eq. square root	All	All	All	EU	OECD	2000-2006	Income.Gross	Household Adult Equiv	All	All	All	Household	Household	0.797140833	23192.890625	
Austria	AUT	AT	2007	8.309783	High income: OECD	20342	18156	26.2	Eurostat	3.7999999523	5.6999998093	6.8000001907	7.5999999046	8.5	9.3999996185	10.5	11.8999996185	14	21.8999996185	9.5	14.3999996185	17.8999996185	22.2999992371	35.9000015259	0.400000006	85.0999984741	New 2013	High		Europe	Euros	Year	Income.Disposable	Household	Person	Household per capita	All	All	All	EU	OECD	2007+	Income.Disposable	Household Per Capita	All	All	All	Household	Person	0.7306375	27841.439453125	24849.53125
Austria	AUT	AT	2007	8.309783	High income: OECD	23656	21150	26.5	OECD StatExtract																		New 2013	High	Current prices	Europe	Euros	Year	Income.Disposable	Household	Household	Household eq. square root	All	All	All	EU	OECD	2007+	Income.Disposable	Household Adult Equiv	All	All	All	Household	Household	0.7306375	32377.205078125	28947.32421875
Austria	AUT	AT	2007	8.309783	High income: OECD	20126		47.5	OECD StatExtract																		New 2013	High	Current prices	Europe	Euros	Year	Market Income	Household	Household	Household eq. square root	All	All	All	EU	OECD	2007+	Income.Gross	Household Adult Equiv	All	All	All	Household	Household	0.7306375	27545.806640625	
Austria	AUT	AT	2008	8.341806	High income: OECD	21381	19011	26.2	Eurostat	4	5.6999998093	6.6999998093	7.5	8.3999996185	9.5	10.5	11.8999996185	14	21.8999996185	9.6000003815	14.1000003815	17.8999996185	22.5	35.9000015259	0.400000006	84.9000015259	New 2013	High		Europe	Euros	Year	Income.Disposable	Household	Person	Household per capita	All	All	All	EU	OECD	2007+	Income.Disposable	Household Per Capita	All	All	All	Household	Person	0.682674711	31319.455078125	27847.81640625
Austria	AUT	AT	2008	8.341806	High income: OECD	20435		47.2	OECD StatExtract																		New 2013	High	Current prices	Europe	Euros	Year	Market Income	Household	Household	Household eq. square root	All	All	All	EU	OECD	2007+	Income.Gross	Household Adult Equiv	All	All	All	Household	Household	0.682674711	29933.728515625	
Austria	AUT	AT	2008	8.341806	High income: OECD	24530	22069	26.1	OECD StatExtract																		New 2013	High	Current prices	Europe	Euros	Year	Income.Disposable	Household	Household	Household eq. square root	All	All	All	EU	OECD	2007+	Income.Disposable	Household Adult Equiv	All	All	All	Household	Household	0.682674711	35932.1953125	32327.255859375
Austria	AUT	AT	2009	8.369639	High income: OECD	25746	22851	26.8	OECD StatExtract																		New 2013	High	Current prices	Europe	Euros	Year	Income.Disposable	Household	Household	Household eq. square root	All	All	All	EU	OECD	2007+	Income.Disposable	Household Adult Equiv	All	All	All	Household	Household	0.71984336	35766.11328125	31744.40625
Austria	AUT	AT	2009	8.369639	High income: OECD	22106	19886	25.7	Eurostat	3.9000000954	5.6999998093	6.6999998093	7.6999998093	8.5	9.5	10.6000003815	12	14	21.2999992371	9.6000003815	14.3999996185	18	22.6000003815	35.4000015259	0.400000006	85.5	New 2013	High		Europe	Euros	Year	Income.Disposable	Household	Person	Household per capita	All	All	All	EU	OECD	2007+	Income.Disposable	Household Per Capita	All	All	All	Household	Person	0.71984336	30709.458984375	27625.455078125
Austria	AUT	AT	2009	8.369639	High income: OECD	21551		48.9	OECD StatExtract																		New 2013	High	Current prices	Europe	Euros	Year	Market Income	Household	Household	Household eq. square root	All	All	All	EU	OECD	2007+	Income.Gross	Household Adult Equiv	All	All	All	Household	Household	0.71984336	29938.45703125	
Austria	AUT	AT	2010	8.393644	High income: OECD	21636		47.9	OECD StatExtract																		New 2013	High	Current prices	Europe	Euros	Year	Market Income	Household	Household	Household eq. square root	All	All	All	EU	OECD	2007+	Income.Gross	Household Adult Equiv	All	All	All	Household	Household	0.755044952	28655.248046875	
Austria	AUT	AT	2010	8.393644	High income: OECD	26253	23676	26.7	OECD StatExtract																		New 2013	High	Current prices	Europe	Euros	Year	Income.Disposable	Household	Household	Household eq. square root	All	All	All	EU	OECD	2007+	Income.Disposable	Household Adult Equiv	All	All	All	Household	Household	0.755044952	34770.1171875	31357.07421875
Austria	AUT	AT	2010	8.393644	High income: OECD	23160	20618	26.1	Eurostat	4	5.6999998093	6.6999998093	7.5999999046	8.3999996185	9.3999996185	10.3999996185	11.8999996185	14	22	9.6000003815	14.3000001907	17.7999992371	22.2999992371	36	0.400000006	85	New 2013	High		Europe	Euros	Year	Income.Disposable	Household	Person	Household per capita	All	All	All	EU	OECD	2007+	Income.Disposable	Household Per Capita	All	All	All	Household	Person	0.755044952	30673.669921875	27306.984375
Austria	AUT	AT	2011	8.413429	High income: OECD	23642	21319	26.3	Eurostat	3.7000000477	5.6999998093	6.6999998093	7.5999999046	8.5	9.5	10.6000003815	11.8999996185	13.8999996185	21.8999996185	9.3999996185	14.3000001907	18	22.5	35.7999992371	0.400000006	85.1999969482	New 2013	High		Europe	Euros	Year	Income.Disposable	Household	Person	Household per capita	All	All	All	EU	OECD	2007+	Income.Disposable	Household Per Capita	All	All	All	Household	Person	0.719355254	32865.54296875	29636.26171875
Azerbaijan	AZE	AZ	1972		Upper middle income	1320	1087.2	27.1	Atkinson and Micklewright 1992																			Average	March Census	Post Soviet	Rubles	Month	Earnings. Gross	Person	Person	No Adjustment	All	Employed. state sector	All	Non-EU	Non-OECD	1970-1979	Income.Gross	Without Adjustment	All	All	Employed+Others	Person	Person			
Azerbaijan	AZE	AZ	1976		Upper middle income	1507.2	1296	26.1	Atkinson and Micklewright 1992																			Average	March Census	Post Soviet	Rubles	Month	Earnings. Gross	Person	Person	No Adjustment	All	Employed. state sector	All	Non-EU	Non-OECD	1970-1979	Income.Gross	Without Adjustment	All	All	Employed+Others	Person	Person			
Azerbaijan	AZE	AZ	1981		Upper middle income	1682.4	1437.6	25.2	Atkinson and Micklewright 1992																			Average	March Census	Post Soviet	Rubles	Month	Earnings. Gross	Person	Person	No Adjustment	All	Employed. state sector	All	Non-EU	Non-OECD	1980-1989	Income.Gross	Without Adjustment	All	All	Employed+Others	Person	Person			
Azerbaijan	AZE	AZ	1986		Upper middle income	1785.6	1514.4	26.6	Atkinson and Micklewright 1992																			Average	March Census	Post Soviet	Rubles	Month	Earnings. Gross	Person	Person	No Adjustment	All	Employed. state sector	All	Non-EU	Non-OECD	1980-1989	Income.Gross	Without Adjustment	All	All	Employed+Others	Person	Person			
Azerbaijan	AZE	AZ	1988		Upper middle income	1284		31.7	Alexeev and Gaddy 1993																			Average	Family Budget Survey. Goskomstat	Post Soviet	Rubles	Month	Income. Gross	Household	Person	Family per capita	All	All	All	Non-EU	Non-OECD	1980-1989	Income.Gross	Household Per Capita	All	All	All	Household	Person			
Azerbaijan	AZE	AZ	1989		Upper middle income	1888.8	1622.4	27.5	Atkinson and Micklewright 1992																			Average	March Household Survey	Post Soviet	Rubles	Month	Earnings. Gross	Person	Person	No Adjustment	All	Employed. state sector	All	Non-EU	Non-OECD	1980-1989	Income.Gross	Without Adjustment	All	All	Employed+Others	Person	Person			
Azerbaijan	AZE	AZ	1989		Upper middle income			30.8	Transmonee 2004																			Average	Household Budget Survey (Flemming & Micklewright. 1999)	Post Soviet			Income. Gross	Household	Person	Family per capita	All	All	All	Non-EU	Non-OECD	1980-1989	Income.Gross	Household Per Capita	All	All	All	Household	Person			
Azerbaijan	AZE	AZ	1989		Upper middle income	1324.8	1140	32.8	Atkinson and Micklewright 1992																			Average	Family Budget Survey. Goskomstat	Post Soviet	Rubles	Month	Income. Gross	Household	Person	Family per capita	All	Mostly families of state sector & collective farm employees	All	Non-EU	Non-OECD	1980-1989	Income.Gross	Household Per Capita	All	All	Employed+Others	Household	Person			
Azerbaijan	AZE	AZ	1990	7.211692	Upper middle income	1428		34.5	Alexeev and Gaddy 1993																			Average	Family Budget Survey. Goskomstat	Post Soviet	Rubles	Month	Income. Gross	Household	Person	Family per capita	All	All	All	Non-EU	Non-OECD	1990-1999	Income.Gross	Household Per Capita	All	All	All	Household	Person			
Azerbaijan	AZE	AZ	1992	7.445925	Upper middle income			36.1	Transmonee 2004																			Average		Post Soviet			Earnings. Gross	Person	Person	No Adjustment	All	Employed	All	Non-EU	Non-OECD	1990-1999	Income.Gross	Without Adjustment	All	All	Employed+Others	Person	Person			
Azerbaijan	AZE	AZ	1994	7.669735	Upper middle income			42.8	Transmonee 2004																			Average		Post Soviet			Earnings. Gross	Person	Person	No Adjustment	All	Employed	All	Non-EU	Non-OECD	1990-1999	Income.Gross	Without Adjustment	All	All	Employed+Others	Person	Person			
Azerbaijan	AZE	AZ	1995	7.764798	Upper middle income			45.9	Transmonee 2004																			Average		Post Soviet			Earnings. Gross	Person	Person	No Adjustment	All	Employed	All	Non-EU	Non-OECD	1990-1999	Income.Gross	Without Adjustment	All	All	Employed+Others	Person	Person			
Azerbaijan	AZE	AZ	1996	7.84531	Upper middle income			45.8	Transmonee 2004																			Average		Post Soviet			Earnings. Gross	Person	Person	No Adjustment	All	Employed	All	Non-EU	Non-OECD	1990-1999	Income.Gross	Without Adjustment	All	All	Employed+Others	Person	Person			
Azerbaijan	AZE	AZ	1997	7.913692	Upper middle income			46.2	Transmonee 2004																			Average		Post Soviet			Earnings. Gross	Person	Person	No Adjustment	All	Employed	All	Non-EU	Non-OECD	1990-1999	Income.Gross	Without Adjustment	All	All	Employed+Others	Person	Person			
Azerbaijan	AZE	AZ	1998	7.975648	Upper middle income			46.2	Transmonee 2004																			Average		Post Soviet			Earnings. Gross	Person	Person	No Adjustment	All	Employed	All	Non-EU	Non-OECD	1990-1999	Income.Gross	Without Adjustment	All	All	Employed+Others	Person	Person			
Azerbaijan	AZE	AZ	2000	8.110723	Upper middle income			30.1	Transmonee 2004																			Low		Post Soviet			Monetary Income. Gross	Household	Person	Household per capita	All	All	All	Non-EU	Non-OECD	2000-2006	Income.Gross	Household Per Capita	All	All	All	Household	Person			
Azerbaijan	AZE	AZ	2000	8.110723	Upper middle income			50.6	Transmonee 2004																			Average		Post Soviet			Earnings. Gross	Person	Person	No Adjustment	All	Employed	All	Non-EU	Non-OECD	2000-2006	Income.Gross	Without Adjustment	All	All	Employed+Others	Person	Person			
Azerbaijan	AZE	AZ	2001	8.191464	Upper middle income	157720.4		37.3	Transmonee 2004	3.4479057177	4.5302705966	5.6111898792	6.4718015516	7.7410414558	8.8204707597	10.3685078618	12.0330359336	14.9429325494	26.0328436946	7.9781763143	12.0829914308	16.5615122155	22.4015437954	40.975776244			Mod 2007	Low		Post Soviet			Monetary Income. Gross	Household	Person	Household per capita	All	All	All	Non-EU	Non-OECD	2000-2006	Income.Gross	Household Per Capita	All	All	All	Household	Person	0.9313166667		
Azerbaijan	AZE	AZ	2001	8.191464	Upper middle income			36.5	World Bank. World Development Indicators 2005	3.055848									29.51643	7.429171	11.53208	15.30998	21.22564	44.50314			New 2007	Low	Household Budget Survey	Post Soviet			Consumption	Household	Person	Household per capita	All	All	All	Non-EU	Non-OECD	2000-2006	Expenditure	Household Per Capita	All	All	All	Household	Person			
Azerbaijan	AZE	AZ	2001	8.191464	Upper middle income			50.1	Transmonee 2004																			Average		Post Soviet			Earnings. Gross	Person	Person	No Adjustment	All	Employed	All	Non-EU	Non-OECD	2000-2006	Income.Gross	Without Adjustment	All	All	Employed+Others	Person	Person			
Azerbaijan	AZE	AZ	2002	8.280252	Upper middle income			50.8	Transmonee 2004																			Average		Post Soviet			Earnings. Gross	Person	Person	No Adjustment	All	Employed	All	Non-EU	Non-OECD	2000-2006	Income.Gross	Without Adjustment	All	All	Employed+Others	Person	Person			
Azerbaijan	AZE	AZ	2008	8.9436	Upper middle income			33.7	WDI											7.99	12.09	16.16	21.68	42.08			New 2013	Average		Post Soviet			Income/Consumption				All	All	All	Non-EU	Non-OECD	2007+	Other		All	All	All					
Bahamas	BHS	BS	1970	0.169367	High income: nonOECD	4400		48.3	Jain 1975	0.9	2.7	3.7	4.9	6.1	7.7	9.4	12.2	16.5	35.9	3.6	8.6	13.8	21.6	52.4		24.4		Not known	Population Census of December 1970	Americas	B$	Year	Income. ..		Person		All	Income Recipients	All	Non-EU	Non-OECD	1970-1979	Other		All	All	Employed+Others		Person	1.0017008333	4392.5288085938	
Bahamas	BHS	BS	1970	0.169367	High income: nonOECD			46.7	Jain 1975	0.9	2.6	3.8	5	6.3	8	10	12.9	17.7	32.9	3.5	8.8	14.3	22.9	50.6		20.7		Not known	Population Census of December 1970	Americas			Income. ..	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1970-1979	Other	Without Adjustment	All	All	All	Household	Household			
Bahamas	BHS	BS	1973	0.18149	High income: nonOECD			43.5	Fields 1989																		Mod 2007	Low	UN 1981	Americas			Primary Income	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1970-1979	Other	Without Adjustment	All	All	All	Household	Household			
Bahamas	BHS	BS	1973	0.18149	High income: nonOECD			45.3	UN 1981																		Mod 2007	Average	Household Sample Survey	Americas			Primary Income	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1970-1979	Other	Without Adjustment	All	All	All	Household	Household			
Bahamas	BHS	BS	1975	0.18887	High income: nonOECD			54.1	UN 1981																		Mod 2007	Average	Household Sample Survey	Americas			Primary Income	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1970-1979	Other	Without Adjustment	All	All	All	Household	Household			
Bahamas	BHS	BS	1975	0.18887	High income: nonOECD			52.3	Fields 1989																		Mod 2007	Low	UN 1981	Americas			Primary Income	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1970-1979	Other	Without Adjustment	All	All	All	Household	Household			
Bahamas	BHS	BS	1977	0.19709	High income: nonOECD			50.3	UN 1985																		Mod 2007	Low	Household Sample Survey	Americas			Primary Income	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1970-1979	Other	Without Adjustment	All	All	All	Household	Household			
Bahamas	BHS	BS	1977	0.19709	High income: nonOECD			48.1	Fields 1989																		Mod 2007	Low	UN 1981	Americas			Primary Income	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1970-1979	Other	Without Adjustment	All	All	All	Household	Household			
Bahamas	BHS	BS	1979	0.20599	High income: nonOECD			43.1	UN 1985											3.9	9.6	15.7	23	48.1			Mod 2007	Low	Household Sample Survey	Americas			Primary Income	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1970-1979	Other	Without Adjustment	All	All	All	Household	Household			
Bahamas	BHS	BS	1979	0.20599	High income: nonOECD			62.5	Fields 1989																		Mod 2007	Low	UN 1985	Americas			Primary Income	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1970-1979	Other	Without Adjustment	All	All	All	Household	Household			
Bahamas	BHS	BS	1986	0.238989	High income: nonOECD			48.1	Bahamas BDS-LFHIR											3.05	7.44	14.31	26.34	48.86			Mod 2007	Low	Household Sample Survey	Americas			Primary Income	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1980-1989	Other	Without Adjustment	All	All	All	Household	Household			
Bahamas	BHS	BS	1988	0.247409	High income: nonOECD			40.6	Bahamas BDS-LFHIR											3.5	11.7	16.7	25.5	42.6			Mod 2007	Low	Household Sample Survey	Americas			Primary Income	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1980-1989	Other	Without Adjustment	All	All	All	Household	Household			
Bahamas	BHS	BS	1989	0.251671	High income: nonOECD			44.5	Bahamas BDS-LFHIR											3.03	9.04	15.59	24.66	47.68			Mod 2007	Low	Household Sample Survey	Americas			Primary Income	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1980-1989	Other	Without Adjustment	All	All	All	Household	Household			
Bahamas	BHS	BS	1991	0.260845	High income: nonOECD			41.8	Bahamas BDS-LFHIR											3.89	9.88	19.02	23.3	43.91			Mod 2007	Low	Household Sample Survey	Americas			Primary Income	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1990-1999	Other	Without Adjustment	All	All	All	Household	Household			
Bahamas	BHS	BS	1992	0.265761	High income: nonOECD			41.9	Bahamas BDS-LFHIR											3.18	10.15	20.13	23.78	42.76			Mod 2007	Low	Household Sample Survey	Americas			Primary Income	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1990-1999	Other	Without Adjustment	All	All	All	Household	Household			
Bahamas	BHS	BS	1993	0.270701	High income: nonOECD			45.3	Bahamas BDS-LFHIR											3.54	8.12	17.97	23.57	46.8			Mod 2007	Low	Household Sample Survey	Americas			Primary Income	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1990-1999	Other	Without Adjustment	All	All	All	Household	Household			
Bahamas	BHS	BS	2001	0.301606	High income: nonOECD	10111	6989	57.5	Bahamas Department of Statistics																		New 2007	Low	Living Conditions Survey	Americas	B$	Year	Consumption	Household	Person	Household per capita	All	All	All	Non-EU	Non-OECD	2000-2006	Expenditure	Household Per Capita	All	All	All	Household	Person	1	10111	6989
Bahamas	BHS	BS	2003	0.310201	High income: nonOECD	37861	31792	48	Bahamas BDS-LFHIR											4.1	12.5	15.2	24.7	43			New 2007	Low	Household Sample Survey	Americas	B$	Year	Primary Income	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	2000-2006	Other	Without Adjustment	All	All	All	Household	Household	1	37861	31792
Bahamas	BHS	BS	2004	0.314739	High income: nonOECD	39626	33600	43	Bahamas BDS-LFHIR																		New 2007	Low	Household Sample Survey	Americas	B$	Year	Primary Income	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	2000-2006	Other	Without Adjustment	All	All	All	Household	Household	1	39626	33600
Bangladesh	BGD	BD	1959	53.1017123179	Low income			37.1	Statistical Yearbook																			Low		Asia			Income. Gross	Household	Household	No Adjustment	Rural	All	All	Non-EU	Non-OECD	1900-1959	Income.Gross	Without Adjustment	All	Other	All	Household	Household			
Bangladesh	BGD	BD	1960	54.2276345013	Low income			41.8	Statistical Yearbook																			Low		Asia			Income. Gross	Household	Household	No Adjustment	Rural	All	All	Non-EU	Non-OECD	1960-1969	Income.Gross	Without Adjustment	All	Other	All	Household	Household			
Bangladesh	BGD	BD	1961	55.3364071219	Low income			45	Statistical Yearbook																			Low		Asia			Income. Gross	Household	Household	No Adjustment	Rural	All	All	Non-EU	Non-OECD	1960-1969	Income.Gross	Without Adjustment	All	Other	All	Household	Household			
Bangladesh	BGD	BD	1963	57.7970371091	Low income	2900		50.2	Jain 1975	1.8	2.9	3.8	4.6	5.7	6.8	8.5	10.7	14.5	40.7	4.7	8.4	12.5	19.2	55.2		30.5		Not known	Quarterly Surveys of Current Economic Conditions	Asia	Rupees	Year	Income. Gross	Household	Household	No Adjustment	Urban	All	All	Non-EU	Non-OECD	1960-1969	Income.Gross	Without Adjustment	All	Other	All	Household	Household			
Bangladesh	BGD	BD	1963	57.7970371091	Low income	1608		35.1	Jain 1975	3.4	4.4	5.2	6.2	7.1	8.4	10	12.2	15.7	27.4	7.8	11.4	15.5	22.2	43.1		17.2		Not known	Quarterly Surveys of Current Economic Conditions	Asia	Rupees	Year	Income. Gross	Household	Household	No Adjustment	Rural	All	All	Non-EU	Non-OECD	1960-1969	Income.Gross	Without Adjustment	All	Other	All	Household	Household			
Bangladesh	BGD	BD	1963	57.7970371091	Low income	1740		37.3	Jain 1975	2.8	4.1	5	6	7.1	8.3	10	12.2	15.8	28.7	6.9	11	15.4	22.2	44.5		18.3		Not known	Quarterly Surveys of Current Economic Conditions	Asia	Rupees	Year	Income. Gross	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1960-1969	Income.Gross	Without Adjustment	All	All	All	Household	Household			
Bangladesh	BGD	BD	1963	57.7970371091	Low income			41	Statistical Yearbook	2.8	3.6	4.5	5.8	5.9	7.5	8.9	11.5	16.5	33	6.4	10.3	13.4	20.4	49.5	1	21.1		Average	Bangladesh Household Expenditure Survey	Asia			Income. Gross	Household	Household	No Adjustment	Urban	All	All	Non-EU	Non-OECD	1960-1969	Income.Gross	Without Adjustment	All	Other	All	Household	Household			
Bangladesh	BGD	BD	1963	57.7970371091	Low income			36	Statistical Yearbook	3.2	4.5	4.6	6.1	7.3	7.3	10.7	10.6	14.7	31	7.7	10.7	14.6	21.3	45.7	1.2	20.4		Average	Bangladesh Household Expenditure Survey	Asia			Income. Gross	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1960-1969	Income.Gross	Without Adjustment	All	All	All	Household	Household			
